datasetid,title,description,theme,keyword,license,language,modified,data_processed,metadata_processed,publisher,references,odi_certificate_url,records_count,attributions,source_domain,source_domain_title,source_domain_address,source_dataset,oauth_scope,dcat.created,dcat.issued,dcat.creator,dcat.contributor,dcat.accrualperiodicity,dcat.spatial,dcat.temporal,dcat.granularity,dcat.dataquality,inspire.file_identifier,inspire.hierarchy_level,inspire.hierarchy_level_name,inspire.contact_individual_name,inspire.contact_position,inspire.contact_address,inspire.contact_email,inspire.identification_purpose,inspire.extend_description,inspire.extend_bounding_box_westbound_longitude,inspire.extend_bounding_box_eastbound_longitude,inspire.extend_bounding_box_southbound_latitude,inspire.extend_bounding_box_northbound_latitude,explore.download_count
filiationvoiesparis2012,Filiation des voies actuelles,Informations sur l'origine et les dénominations successives des  voies  parisiennes,"Culture, Patrimoine",Paris,Open Data Paris,fr,2015-07-17T08:40:38+00:00,2015-06-23T22:55:00+00:00,2015-07-17T08:42:26+00:00,Ville de Paris,http://opendata.paris.fr/opendata/jsp/site/Portal.jsp?document_id=47&portlet_id=106,,8623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
distributeurspreservatifsmasculinsparis2012,Distributeurs de préservatifs à Paris,Equipements municipaux qui hébergent un distributeur de préservatifs masculins à prix réduit (1€ les 5 préservatifs). Le jeu de données comprend l'adresse et les horaires d'ouverture des équipements.  ,"Santé, Services, Social","Santé, Services, Paris, préservatifs, protection",Open Database License (ODbL),fr,2015-07-17T08:43:23+00:00,2015-06-26T04:55:01+00:00,2015-07-17T08:43:32+00:00,Ville de Paris,http://opendata.paris.fr/opendata/jsp/site/Portal.jsp?document_id=112&portlet_id=102,,31,,,,,,,,2012-01-20,Ville de Paris,Ville de Paris,annuelle,,,,,,,,,,,,,,,,,,8
eclairageparis2011,Eclairage public - Données géographiques,"Données de type vecteur, décrivant les mobiliers d'éclairage public : Lampadaires, lanterne, poteaux, projecteurs...","Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement","Mobilier urbain, Paris, Equipements, Eclairage, lampadaires, lanternes, poteau, projecteur",Open Database License (ODbL),fr,2015-07-17T08:45:14+00:00,2015-06-24T13:55:00+00:00,2015-07-17T08:45:30+00:00,Ville de Paris,http://opendata.paris.fr/opendata/jsp/site/Portal.jsp?document_id=94&portlet_id=102,,101787,,,,,,,,2011-04-05,Ville de Paris,Ville de Paris,,,,,,,,,,,,,,,,,,,2
bornes-de-recharge-electrique-de-vehicules-rennes-metropole,Localisation des bornes de recharge dédiées aux véhicules électriques sur le territoire de Rennes Métropole,,"Transports, Déplacements",,Open Database License (ODbL),fr,2015-07-17T08:49:10+00:00,2015-07-17T09:08:22+00:00,2015-07-17T09:08:23+00:00,Rennes Métropole,http://www.data.rennes-metropole.fr/les-donnees/catalogue/?tx_icsopendatastore_pi1[keywords]=&tx_icsopendatastore_pi1[categories][0]=1&tx_icsopendatastore_pi1[uid]=209,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arretesinsalubriteparis2010,Arrêtés municipaux d'insalubrité - 2010,Arrêté municipaux d'insalubrité de mise en demeure à 1 mois,"Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement, Santé","Santé, Paris, Logements",Open Database License (ODbL),fr,2015-07-17T08:52:20+00:00,2015-06-25T14:55:02+00:00,2015-07-17T08:52:27+00:00,Ville de Paris,http://opendata.paris.fr/opendata/jsp/site/Portal.jsp?document_id=45&portlet_id=106,,276,,,,,,,,2011-01-17,Ville de Paris,Ville de Paris,annuelle,,,,,,,,,,,,,,,,,,1
volumesnonbatisparis2011,Volumes non bâtis - Données géographiques,<p>Données de type vecteur qui décrivent les volumes non bâtis représentés sur le plan parcellaire</p><p>Vous trouverez en pièce jointe une notice explicative du jeu de données</p>,"Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement","Paris, Construction, bâti",Open Data Paris,fr,2015-07-17T09:00:54+00:00,2015-06-25T09:55:00+00:00,2015-07-17T09:01:03+00:00,Ville de Paris,http://opendata.paris.fr/opendata/jsp/site/Portal.jsp?document_id=106&portlet_id=106,,125140,,,,,,,,2011-06-22,Ville de Paris,Ville de Paris,annuelle,,,,,,,,,,,,,,,,,,1
volumesbatisparis2011,Volumes bâtis - Données géographiques,<p>Données de type  vecteur qui décrivent les bâtiments représentés sur le plan parcellaire</p><p>Vous trouverez en pièce jointe une notice décrivant les valeurs attributaires et la modélisation géométrique des bâtiments.</p>,"Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement","Paris, Construction, plan, parcelle , bâti",Open Data Paris,fr,2015-07-17T09:03:04+00:00,2015-06-25T18:55:00+00:00,2015-07-17T09:03:11+00:00,Ville de Paris,http://opendata.paris.fr/opendata/jsp/site/Portal.jsp?document_id=80&portlet_id=102,,352292,,,,,,,,2011-06-22,Ville de Paris,Ville de Paris,annuelle,,,,,,,,,,,,,,,,,,9
catalogue_des_cours_municipaux_d_adultes,Catalogue des cours municipaux d'adultes,"<p>
	Catalogue des cours municipaux d'adultes 2011-2012. Ce jeu de données comprend le département d'enseignement, la formation et le module suivis, le nom de l'établissement et les dates de début et de fin.
</p>","Education, Formation, Recherche, Enseignement","enseignement, formation, cours, éducation",Open Database License (ODbL),fr,2015-07-17T09:06:25+00:00,2015-06-25T17:55:01+00:00,2015-07-17T09:07:43+00:00,Ville de Paris,,,1435,,,,,,,,2012-02-16,Ville de Paris,Ville de Paris,annuelle,Paris,2011-2012,Paris,,,,,,,,,,,,,,,9
bornes-de-recharge-electrique-de-vehicules-bordeaux,Bornes de recharge électrique de véhicules - Bordeaux,,"Transports, Déplacements",,Licence Ouverte (Etalab),fr,2015-07-17T09:13:37+00:00,2015-07-17T09:16:34+00:00,2015-07-17T09:16:35+00:00,Ville de Bordeaux,http://opendata.bordeaux.fr/bornes-recharge-electrique-vehicules,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baby_names_nc_2013,Baby names popularity in North Carolina (2013),<p>Distribution of given names of babies born in the state of North Carolina.</p>,"Administration, Government, Public finances, Citizenship","names, North Carolina, NC, N.C., babies, baby, name, first name, given name, birth, popular",,en,2015-07-17T09:14:58+00:00,2015-07-17T09:15:05+00:00,2015-07-17T09:15:06+00:00,Social Security Administration,http://www.ssa.gov/OACT/babynames/limits.html,,2841,,,,,,,2014-02-28,2014-02-28,Social Security Administration,,,,,,,,,,,,,,,,,,,,3
pistes-cyclables-ville-de-montpellier,Pistes Cyclables - Ville de Montpellier,<p>Réseau de pistes cyclables de Montpellier</p>,"Transports, Déplacements","vélo, pistes, cyclables, montpellier",Licence Ouverte (Etalab),fr,2015-07-17T09:17:20+00:00,2015-07-17T11:51:49+00:00,2015-07-17T11:51:50+00:00,Ville de Montpellier,http://opendata.montpelliernumerique.fr/Pistes-cyclables,,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adresses_des_panneaux_cq,Adresses des panneaux d'affichage des Conseils de Quartier,"<p>
	     Liste des panneaux d'affichage des Conseils de Quartier.<br>
	     Le jeu de données précise:<br>
<span style=""line-height: 1.45em;"">- Le type de panneau<br>
</br></span><span style=""line-height: 1.45em;""></span><span style=""line-height: 1.45em;"">- L'adresse<br>
</br></span><span style=""line-height: 1.45em;"">- Le conseil de quartier responsable du panneau<br>
</br></span><span style=""line-height: 1.45em;"">- Les personnes à contacter</span><span style=""line-height: 1.45em;""></span>
</br></br></p>
<p>
<span style=""line-height: 1.45em;"">Les lignes vides dans le jeu de données signifient qu'il n'y a pas de panneaux dans l'arrondissement en question. </span>
</p>
<p>
<span style=""line-height: 1.45em;"">Consultez l'annuaire des coordinateurs des conseils de quartier : <a href=""http://www.paris.fr/politiques/ou-participer/conseils-de-quartier/comment-ca-marche/rub_8977_stand_15333_port_21589"">http://www.paris.fr/politiques/ou-participer/conseils-de-quartier/comment-ca-marche/rub_8977_stand_15333_port_21589</a></span>
</p>","Administration, Gouvernement, Finances publiques, Citoyenneté","Affichage, panneau, quartier, Conseil de quartier, conseil",Open Database License (ODbL),fr,2015-07-17T09:21:17+00:00,2015-06-20T22:55:01+00:00,2015-07-17T09:21:33+00:00,Ville de Paris,,,218,,,,,,,,2013-07-16,Ville de Paris,Ville de Paris,annuelle,,2012,,,,,,,,,,,,,,,,
localisation-des-stations-de-velos-en-libre-service-velhop-de-strasbourg,Localisation des stations de vélos en libre-service Velhop de Strasbourg,,"Transports, Déplacements",,Licence Ouverte (Etalab),fr,2015-07-17T09:25:23+00:00,2015-07-17T10:18:39+00:00,2015-07-17T10:18:40+00:00,Eurométropole de Strasbourg,http://www.strasbourg.eu/ma-situation/professionnel/open-data/donnees/mobilite-transport-open-data/localisation-stations-velos-libre-service-velhop,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
petits_marchands_sur_l_espace_public_en_2012,Petits Marchands sur l'espace public parisien,"<p>
<span style=""line-height: 1.45em;"">Liste des commerçants autorisés et exerçant sur la voie publique. Le jeu de données comprend la localisation du stand, le type d'activité exercée et les horaires d'activité autorisés.</span>
</p>
<p>
	A noter que le jeu de données ""Petits Marchands sur l'espace public parisien en 2011"" ne sera plus mis à jour. Il faudra désormais se réferer à ce jeu de donnée pour les futures mises à jour.
</p>","Economie, Business, PME, Développement économique, Emploi","Marchands, commercants, espace public",,fr,2015-07-17T09:27:45+00:00,2015-06-23T08:55:03+00:00,2015-07-17T09:27:56+00:00,,,,120,Geographical locations from OpenStreetMap contributors - http://www.openstreetmap.org,,,,,,,2013-07-03,Ville de Paris,Ville de Paris,Annuelle,,2012,,,,,,,,,,,,,,,,1
bati_donnees_geographiques,Bâti - Données géographiques,"<p>
	 Bâti données de type vecteur décrivant l'  emprise au sol.
</p>
<p>
	 Exemple(s) de réutilisation(s) des données : - Cartographie sur http://demo.3liz.fr/opendataparis
</p>","Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement","bâti, sol",ODbL Paris,fr,2015-07-17T09:30:04+00:00,2015-06-25T08:55:01+00:00,2015-07-17T09:30:10+00:00,Ville de Paris,,,28573,,,,,,,,2011-04-04,Ville de Paris,Ville de Paris,annuelle,Paris,,Paris,,,,,,,,,,,,,,,2
petits_marchands_sur_l_espace_public,Petits Marchands sur l'espace public en 2011,"<p>
	Liste des commerçants autorisés et exerçant sur la voie publique. Le jeu de données comprend la localisation du stand, le type d'activité exercée et les horaires d'activité autorisés.</p><p>
	A noter qu'il existe 
	<a href=""http://public.opendatasoft.com/explore/dataset/petits_marchands_sur_l_espace_public_en_2012/?tab=table"">un autre jeu de données</a> mis à jour.</p>","Economie, Business, PME, Développement économique, Emploi","marchard, commerce, espace",ODbL Paris,fr,2015-07-17T09:32:40+00:00,2015-06-24T13:55:02+00:00,2015-07-17T09:32:45+00:00,Ville de Paris,,,116,,,,,,,,2012-02-15,Ville de Paris,Ville de Paris,Pas de mise à jour,Paris,2011,,,,,,,,,,,,,,,,2
liste_des_places_de_livraison,Liste des places de livraison,"<p>
	 Liste et adresses des places de livraison.
</p>
<p>
	 Le jeu de données comprend la distinction entre place de livraison permanente (même la nuit) et place de livraison le jour (transformée en place de stationnement la nuit).<br>
<br>
<span style=""line-height: 1.45em;"">Description des champs métier :</span>
</br></br></p>
<p>
<strong>REGPAR </strong>: régime particulier. La valeur LIVRAISON correspond aux aires de livraison périodiques/partagées au stationnement la nuit et la valeur LIVRAISON NUIT correspond aux aires de livraison permanentes/sanctuarisées même la nuit.
</p>
<p>
<strong>LOCNUM </strong>: Localisation de l'emplacement de l'aire de stationnement au regard du numéro de voie enregistré pour cet emplacement.
</p>
<p>
<strong>DROIT </strong>: lorsque le numéro postal se trouve du même côté de rue que l'aire de stationnement
</p>
<p>
<strong>FACE </strong>ou Vis-à-vis : lorsque le numéro postal se trouve du côté opposé de rue de l'aire de stationnement (notamment en cas d’absence du numéro postale au ""droit"" de l'aire de stationnement)
</p>
<p>
<strong>ANGLE </strong>: lorsque le stationnement se trouve à l’angle de deux voies (en cas d’absence du numéro postale au droit et en vis à vis de l'aire de stationnement)
</p>
<p>
<strong>CENTRE </strong>: lorsque le stationnement se trouve en axial à l'aire de stationnement
</p>","Transports, Déplacements","livraison, stationnement, parking, voiture",Open Database License (ODbL),fr,2015-07-17T09:40:26+00:00,2015-06-21T15:55:01+00:00,2015-07-17T09:40:32+00:00,Ville de Paris,http://opendata.paris.fr/opendata/jsp/site/Portal.jsp?document_id=136&portlet_id=102,,8776,,,,,,,,2012-05-23,Ville de Paris,Ville de Paris,annuelle,,,,,,,,,,,,,,,,,,3
lignes-de-bus-du-reseau-de-transport-de-marseille-provence-metropole,Lignes de bus du réseau de transport de Marseille Provence Métropole,,"Transports, Déplacements",,Licence Ouverte (Etalab),fr,2015-07-17T09:41:36+00:00,2015-07-17T10:04:28+00:00,2015-07-17T10:04:29+00:00,Marseille Provence Métropole,http://opendata.regionpaca.fr/donnees/detail/lignes-de-bus-du-reseau-de-transport-de-mpm.html,,250,,,,,,,,,OpenDataSoft,,,,,,,,,,,,,,,,,,,,
liste_des_marches_de_quartier_a_paris,Liste des marchés de quartier à Paris,"<p>
	 Liste des marchés de quartier en 2012 avec :<br>
	 • Adresse du site<br>
	 • Jours et horaires d'ouverture (ils sont fixes)<br>
	 • Type du marché : alimentaires couverts,alimentaires découverts,fleurs,timbres,création,puces,biologique
</p>","Economie, Business, PME, Développement économique, Emploi","marché, quartier",Open Data Paris,fr,2015-07-17T09:43:35+00:00,2015-06-24T20:55:00+00:00,2015-07-17T09:43:40+00:00,Ville de Paris,http://opendata.paris.fr/opendata/jsp/site/Portal.jsp?document_id=134&portlet_id=102,,94,,,,,,,,2012-05-04,Ville de Paris,Ville de Paris,annuelle,,2012,,,,,,,,,,,,,,,,8
logements_sociaux_finances_a_paris,Logements sociaux financés à Paris,"<p>
<span style=""line-height: 1.45em;"">Inventaire des logements sociaux financés à Paris entre 2001 et 2014, par arrondissement, par année, par maître d’ouvrage, par nombre de logements, par nature de programme, par catégorie de financement et par mode de réalisation.<br/></span></p><p><br><span style=""line-height: 1.45em;""><strong>Informations complémentaires : </strong><br/></span></br></p><p><span style=""line-height: 1.45em;"">Les logements sociaux se différencient notamment par:</span></p><p>
	 &gt; Catégorie de financement : <br>
	 -  Les logements PLA I (Prêt locatif aidé d’intégration) sont des logements très sociaux pour les personnes ayant des difficultés particulières d’accès au logement. Ils comprennent notamment des logements d’insertion gérés par des associations pour l’hébergement des personnes défavorisées. <br>
	 -  Les logements PLUS (Prêt locatif à usage social) correspondent aux logements sociaux classiques. <br>
	 -  Les logements PLS (Prêt locatif social) sont des logements sociaux de type intermédiaire, destinés notamment aux classes moyennes et accessibles sous des plafonds de ressources qui couvrent trois ménages parisiens sur quatre. <br>
<br>
	 &gt; Mode de réalisation : <br>
	 - la construction neuve <br>
	 - l’acquisition suivie d’une réhabilitation lourde et de la restructuration d’immeubles assimilable à de la construction neuve <br>
	 - l’acquisition et le conventionnement en logement social avec pas ou peu de travaux. <br>
<br>
	 &gt; Année d’agrément = il s’agit de la décision administrative par laquelle la collectivité compétente donne son accord pour le financement d’une opération de logement social</br></br></br></br></br></br></br></br></br></br></p>","Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement, Services, Social","logement social, logements sociaux, logement, social",,fr,2015-07-17T09:45:14+00:00,2015-06-25T21:55:01+00:00,2015-07-17T09:45:18+00:00,,,,2457,Geographical locations from OpenStreetMap contributors - http://www.openstreetmap.org,,,,,,,2012-11-22,,,Annuelle,,2001 - 2014,,,,,,,,,,,,,,,,28
les_1000_titres_les_plus_empruntes_2012_par_bibliotheque,les 1000 titres les plus empruntés par bibliothèque en 2012,"<p>
	Les 1000 références les plus empruntées en 2012, par bibliothèque
</p>","Culture, Patrimoine","bibliothèque, prêt, livres, statistiques",ODBl Paris,fr,2015-07-17T09:56:50+00:00,2015-06-17T05:55:00+00:00,2015-07-17T09:57:01+00:00,,,,57174,,,,,,,,2012-10-25,Ville de Paris,Ville de Paris,Semestrielle,Paris,,,,,,,,,,,,,,,,,
les_1000_titres_les_plus_empruntes_de_2012,Les 1000 titres les plus empruntés de 2012,"<p>
	Les 1000 références les plus empruntées en 2012 au sein des bibliothèques municipales de la ville de Paris.
</p>","Culture, Patrimoine","bibliothèques, livres, documents, DVD, références, prêt",ODBl Paris,fr,2015-07-17T09:57:12+00:00,2015-06-21T18:55:00+00:00,2015-07-17T09:57:27+00:00,,http://opendata.paris.fr/opendata/jsp/site/Portal.jsp?document_id=157&portlet_id=106,,1000,,,,,,,,2013-02-14,Ville de Paris,Ville de Paris,Semestrielle,,2012,,,,,,,,,,,,,,,,
liste_des_etablissements_scolaires2,Liste des établissements scolaires,"<p>
	 Liste des établissements maternels et élémentaires du public parisien.
</p>
<p>
	  Exemples de réutilisations: - Carte web sur http://OpenData-City.com (site suspendu?)
</p>","Education, Formation, Recherche, Enseignement, Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement","école, primaire, maternelle",Open Database License (ODbL),fr,2015-07-17T10:00:27+00:00,2015-06-25T12:55:02+00:00,2015-07-17T10:00:39+00:00,Ville de Paris,,,670,Geographical locations from OpenStreetMap contributors - http://www.openstreetmap.org,,,,,,,2011-01-17,Ville de Paris,Ville de Paris,Annuelle,Paris,,Arrondissement,,,,,,,,,,,,,,,4
maneges_et_jeux_2012,Attractions foraines sur l'espace public,"<p>
<span style=""line-height: 1.45em;"">Manèges et jeux forains autorisés sur l'espace public parisien. Le jeu de données comprend la localisation du l'attraction, le type d'attraction et les horaires d'activité autorisés.</span>
</p>
<p>
<span style=""line-height: 1.45em;""></span>
</p>
<p>
<span style=""line-height: 1.45em;"">A noter que le jeu de données "" </span>Attractions foraines sur l'espace public en 2011"" ne sera plus mis à jour.  Il faudra désormais se réferer à ce jeu de donnée pour les futures mises à jour.
</p>","Sport, Loisirs, Economie, Business, PME, Développement économique, Emploi","attraction, foraine, espace, jeux, manège",Open Database License (ODbL),fr,2015-07-17T10:03:08+00:00,2015-06-01T05:23:58+00:00,2015-07-17T10:03:20+00:00,Ville de Paris,,,29,Geographical locations from OpenStreetMap contributors - http://www.openstreetmap.org,,,,,,,2013-07-04,Ville de Paris,Ville de Paris,Annuelle,Paris,2012,,,,,,,,,,,,,,,,
localisation-des-ports-du-territoire-de-la-metropole-nice-cote-dazur,Localisation des ports du territoire de la Métropole Nice Côte d'Azur,,"Transports, Déplacements",,Licence Ouverte (Etalab),fr,2015-07-17T10:06:19+00:00,2015-07-17T10:17:02+00:00,2015-07-17T10:17:04+00:00,Métropole Nice Côte d'Azur,http://opendata.nicecotedazur.org/data/dataset/cartographie-des-ports-du-territoire-de-la-metropole,,13,,,,,,,,,OpenDataSoft,,,,,,,,,,,,,,,,,,,,
panneaux_d_affichage_associatifs,Panneaux d'affichages associatifs,"<p>
<span style=""line-height: 1.45em;"">Liste des panneaux d'affichage associatifs par arrondissement, comportant la géolocalisation et le format du panneau</span>
</p>","Administration, Gouvernement, Finances publiques, Citoyenneté, Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement","association, communication, affichage, tracts, affiches, information",Open Data Paris,fr,2015-07-17T10:10:11+00:00,2015-06-15T15:55:01+00:00,2015-07-17T10:10:17+00:00,,,,288,Geographical locations from OpenStreetMap contributors - http://www.openstreetmap.org,,,,,,,2010-11-13,Ville de Paris,Ville de Paris,,,2012,,,,,,,,,,,,,,,,4
attractions_foraines_sur_l_espace_public,Attractions foraines sur l'espace public en 2011,"<p>
	    Manèges et jeux forains autorisés sur l'espace public parisien. Le jeu de données comprend la localisation du l'attraction, le type d'attraction et les horaires d'activité autorisés.
</p>
<p>
	 A noter qu'il existe un autre jeu de donnée mis à jour.
</p>","Sport, Loisirs, Economie, Business, PME, Développement économique, Emploi","attraction, foraine, espace, jeux, manège",ODbL Paris,fr,2015-07-17T10:17:39+00:00,2015-06-24T15:55:06+00:00,2015-07-17T10:17:58+00:00,Ville de Paris,,,29,,,,,,,,2012-02-05,Ville de Paris,Ville de Paris,annuelle,Paris,2011,,,,,,,,,,,,,,,,
aires-de-covoiturage-de-nantes-metropole,Aires de covoiturage de Nantes Métropole,,"Transports, Déplacements",,Open Database License (ODbL),fr,2015-07-17T10:18:57+00:00,2015-07-17T10:23:03+00:00,2015-07-17T13:55:04+00:00,Nantes Métropole,http://data.nantes.fr/donnees/detail/donnees-de-cyclabilite-des-voies-de-nantes-metropole-1/?tx_icsoddatastore_pi1[page]=1,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
annuaire_immobilier_de_l_enseignement_superieur,Annuaire Immobilier de l'Enseignement Superieur,"<p>
	  L'annuaire immobilier de l’Enseignement supérieur est une tentative pour rassembler dans un cadre unique les principaux établissements d’enseignement supérieur de Paris et de sa couronne, autrement dit de Paris-Métropole, sur la base des adresses et des parcelles.<br>
<br>
<span style=""line-height: 1.45em;"">Exemple(s) de réutilisation(s) des données : - Transparent School, un mash up entre Annuaire Immobilier de l'Enseignement Superieur et Foursquare <a href=""http://www.transparentschool.org/"">http://www.transparentschool.org/</a></span>
</br></br></p>
<p>
	  Notice :  L’annuaire immobilier de l’Enseignement supérieur est une tentative pour rassembler dans un cadre unique les principaux établissements d’enseignement supérieur de Paris et de sa couronne, autrement dit de  Paris-Métropole, sur la base des adresses et des parcelles.<br>
<br>
<span style=""line-height: 1.45em;"">Les établissements sont classés par arrondissement.<br>
<br>
</br></br></span><span style=""line-height: 1.45em;"">Puis par N° de la parcelle, telle qu’elle est connue à la direction de l’urbanisme de la ville de Paris – sous direction de l’action foncière. La surface de la parcelle est exprimée en m².</span>
</br></br></p>
<p>
	  Une grande valeur ajoutée de l’Annuaire est de mentionner le propriétaire.<br>
<br>
<span style=""line-height: 1.45em;"">L’occupant est cité, en sigle et avec sa dénomination développée, afin de faciliter la lecture.<br>
<br>
</br></br></span><span style=""line-height: 1.45em;"">La catégorie « type » renvoie à un classement selon des catégories pré-définies : université, grand établissement, grandes écoles.<br>
<br>
</br></br></span><span style=""line-height: 1.45em;"">La tutelle pédagogique est intéressante pour les cas, limités en nombre, où ce n’est pas celle du ministère de l’enseignement supérieur.<br>
<br>
</br></br></span><span style=""line-height: 1.45em;"">La rubrique « statut » permet de séparer les établissements publics des établissements privés. Cet annuaire se veut exhaustif pour les « publics » ; par contre, un choix a été fait concernant les « privés ». Ont été retenus ceux entrants dans un type pré-déterminé ou ceux, notamment en matière de gestion et de management, ayant une certaine reconnaissance ; les auteurs de l’Annuaire admettent ici une marge de choix.<br>
<br>
</br></br></span><span style=""line-height: 1.45em;"">Enfin, la colonne PRES signale si le site appartient à un établissement membre d’un Pole de Recherche et d’Enseignement Supérieur.</span>
</br></br></p>
<p>
<span style=""line-height: 1.45em;"">P2 = </span>Paris II Panthéon-Assas<br>
	 P4 = Paris IV Paris-Sorbonne <br>
	 P6 = Paris VI Pierre et Marie Curie (UPMC)
</br></br></p>","Education, Formation, Recherche, Enseignement","annuaire, immobilier, établissement, université, enseignement",Open Database License (ODbL),fr,2015-07-17T11:56:13+00:00,2015-06-23T05:55:00+00:00,2015-07-17T11:56:25+00:00,Ville de Paris,,,589,,,,,,,,2011-05-05,Ville de Paris,Ville de Paris,Annuelle,Région parisienne,,,,,,,,,,,,,,,,,6
